Ticker,Company_name,Industry
8750.T,DAI-ICHI LIFE HOLDINGS. INC.,Insurance
8766.T,TOKIO MARINE HOLDINGS. INC.,Insurance
8795.T,T&D HOLDINGS. INC.,Insurance
1332.T,NISSUI CORP.,Fishery
2002.T,NISSHIN SEIFUN GROUP INC.,Foods
2269.T,MEIJI HOLDINGS CO.. LTD.,Foods
2282.T,NH FOODS LTD.,Foods
2501.T,SAPPORO HOLDINGS LTD.,Foods
2502.T,ASAHI GROUP HOLDINGS. LTD.,Foods
2503.T,KIRIN HOLDINGS CO.. LTD.,Foods
2801.T,KIKKOMAN CORP.,Foods
2802.T,AJINOMOTO CO.. INC.,Foods
2871.T,NICHIREI CORP.,Foods
2914.T,JAPAN TOBACCO INC.,Foods
3086.T,J.FRONT RETAILING CO.. LTD.,Retail
3092.T,ZOZO. INC.,Retail
3099.T,ISETAN MITSUKOSHI HOLDINGS LTD.,Retail
3382.T,SEVEN & I HOLDINGS CO.. LTD.,Retail
7453.T,RYOHIN KEIKAKU CO.. LTD.,Retail
8233.T,TAKASHIMAYA CO.. LTD.,Retail
8252.T,MARUI GROUP CO.. LTD.,Retail
8267.T,AEON CO.. LTD.,Retail
9843.T,NITORI HOLDINGS CO.. LTD.,Retail
9983.T,FAST RETAILING CO.. LTD.,Retail
2413.T,M3. INC.,Services
2432.T,DENA CO.. LTD.,Services
3659.T,NEXON CO.. LTD.,Services
4307.T,NOMURA RESEARCH INSTITUTE. LTD.,Services
4324.T,DENTSU GROUP INC.,Services
4385.T,MERCARI. INC.,Services
4661.T,ORIENTAL LAND CO.. LTD.,Services
4689.T,LY CORP.,Services
4704.T,TREND MICRO INC.,Services
4751.T,CYBERAGENT. INC.,Services
4755.T,RAKUTEN GROUP. INC.,Services
6098.T,RECRUIT HOLDINGS CO.. LTD.,Services
6178.T,JAPAN POST HOLDINGS CO.. LTD.,Services
7974.T,NINTENDO CO.. LTD.,Services
9602.T,TOHO CO.. LTD,Services
9735.T,SECOM CO.. LTD.,Services
9766.T,KONAMI GROUP CORP.,Services
1605.T,INPEX CORP.,Mining
3401.T,TEIJIN LTD.,Textiles & Apparel
3402.T,TORAY INDUSTRIES. INC.,Textiles & Apparel
3861.T,OJI HOLDINGS CORP.,Pulp & Paper
3405.T,KURARAY CO.. LTD.,Chemicals
3407.T,ASAHI KASEI CORP.,Chemicals
4004.T,RESONAC HOLDINGS CORP.,Chemicals
4005.T,SUMITOMO CHEMICAL CO.. LTD.,Chemicals
4021.T,NISSAN CHEMICAL CORP.,Chemicals
4042.T,TOSOH CORP.,Chemicals
4043.T,TOKUYAMA CORP.,Chemicals
4061.T,DENKA CO.. LTD.,Chemicals
4063.T,SHIN-ETSU CHEMICAL CO.. LTD.,Chemicals
4183.T,MITSUI CHEMICALS. INC.,Chemicals
4188.T,MITSUBISHI CHEMICAL GROUP CORP.,Chemicals
4208.T,UBE CORP.,Chemicals
4452.T,KAO CORP.,Chemicals
4901.T,FUJIFILM HOLDINGS CORP.,Chemicals
4911.T,SHISEIDO CO.. LTD.,Chemicals
6988.T,NITTO DENKO CORP.,Chemicals
5019.T,IDEMITSU KOSAN CO.. LTD.,Petroleum
5020.T,ENEOS HOLDINGS. INC.,Petroleum
5101.T,THE YOKOHAMA RUBBER CO.. LTD.,Rubber
5108.T,BRIDGESTONE CORP.,Rubber
5201.T,AGC INC.,Glass & Ceramics
5214.T,NIPPON ELECTRIC GLASS CO.. LTD.,Glass & Ceramics
5233.T,TAIHEIYO CEMENT CORP.,Glass & Ceramics
5301.T,TOKAI CARBON CO.. LTD.,Glass & Ceramics
5332.T,TOTO LTD.,Glass & Ceramics
5333.T,NGK INSULATORS. LTD.,Glass & Ceramics
5401.T,NIPPON STEEL CORP.,Steel
5406.T,KOBE STEEL. LTD.,Steel
5411.T,JFE HOLDINGS. INC.,Steel
3436.T,SUMCO CORP.,Nonferrous Metals
5706.T,MITSUI MINING & SMELTING CO.,Nonferrous Metals
5711.T,MITSUBISHI MATERIALS CORP.,Nonferrous Metals
5713.T,SUMITOMO METAL MINING CO.. LTD.,Nonferrous Metals
5714.T,DOWA HOLDINGS CO.. LTD.,Nonferrous Metals
5801.T,FURUKAWA ELECTRIC CO.. LTD.,Nonferrous Metals
5802.T,SUMITOMO ELECTRIC IND.. LTD.,Nonferrous Metals
5803.T,FUJIKURA LTD.,Nonferrous Metals
2768.T,SOJITZ CORP.,Trading Companies
8001.T,ITOCHU CORP.,Trading Companies
8002.T,MARUBENI CORP.,Trading Companies
8015.T,TOYOTA TSUSHO CORP.,Trading Companies
8031.T,MITSUI & CO.. LTD.,Trading Companies
8053.T,SUMITOMO CORP.,Trading Companies
8058.T,MITSUBISHI CORP.,Trading Companies
1721.T,COMSYS HOLDINGS CORP.,Construction
1801.T,TAISEI CORP.,Construction
1802.T,OBAYASHI CORP.,Construction
1803.T,SHIMIZU CORP.,Construction
1808.T,HASEKO CORP.,Construction
1812.T,KAJIMA CORP.,Construction
1925.T,DAIWA HOUSE IND. CO.. LTD.,Construction
1928.T,SEKISUI HOUSE. LTD.,Construction
1963.T,JGC HOLDINGS CORP.,Construction
5631.T,THE JAPAN STEEL WORKS. LTD.,Machinery
6103.T,OKUMA CORP.,Machinery
6113.T,AMADA CO.. LTD.,Machinery
6273.T,SMC CORP.,Machinery
6301.T,KOMATSU LTD.,Machinery
6302.T,SUMITOMO HEAVY IND.. LTD.,Machinery
6305.T,HITACHI CONST. MACH. CO.. LTD.,Machinery
6326.T,KUBOTA CORP.,Machinery
6361.T,EBARA CORP.,Machinery
6367.T,DAIKIN INDUSTRIES. LTD.,Machinery
6471.T,NSK LTD.,Machinery
6472.T,NTN CORP.,Machinery
6473.T,JTEKT CORP.,Machinery
7004.T,KANADEVIA CORP.,Machinery
7011.T,MITSUBISHI HEAVY IND.. LTD.,Machinery
7013.T,IHI CORP.,Machinery
7012.T,KAWASAKI HEAVY IND.. LTD.,Shipbuilding
7832.T,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing
7911.T,TOPPAN HOLDINGS INC.,Other Manufacturing
7912.T,DAI NIPPON PRINTING CO.. LTD.,Other Manufacturing
7951.T,YAMAHA CORP.,Other Manufacturing
3289.T,TOKYU FUDOSAN HOLDINGS CORP.,Real Estate
8801.T,MITSUI FUDOSAN CO.. LTD.,Real Estate
8802.T,MITSUBISHI ESTATE CO.. LTD.,Real Estate
8804.T,TOKYO TATEMONO CO.. LTD.,Real Estate
8830.T,SUMITOMO REALTY & DEVELOPMENT CO.. LTD.,Real Estate
9001.T,TOBU RAILWAY CO.. LTD.,Railway & Bus
9005.T,TOKYU CORP.,Railway & Bus
9007.T,ODAKYU ELECTRIC RAILWAY CO.. LTD.,Railway & Bus
9008.T,KEIO CORP.,Railway & Bus
9009.T,KEISEI ELECTRIC RAILWAY CO.. LTD.,Railway & Bus
9020.T,EAST JAPAN RAILWAY CO.,Railway & Bus
9021.T,WEST JAPAN RAILWAY CO.,Railway & Bus
9022.T,CENTRAL JAPAN RAILWAY CO.. LTD.,Railway & Bus
9064.T,YAMATO HOLDINGS CO.. LTD.,Land Transport
9147.T,NIPPON EXPRESS HOLDINGS. INC.,Land Transport
9101.T,NIPPON YUSEN K.K.,Marine Transport
9104.T,MITSUI O.S.K.LINES. LTD.,Marine Transport
9107.T,KAWASAKI KISEN KAISHA. LTD.,Marine Transport
9201.T,JAPAN AIRLINES CO.. LTD.,Air Transport
9202.T,ANA HOLDINGS INC.,Air Transport
9301.T,MITSUBISHI LOGISTICS CORP.,Warehousing
9501.T,TOKYO ELECTRIC POWER COMPANY HOLDINGS. I,Electric Power
9502.T,CHUBU ELECTRIC POWER CO.. INC.,Electric Power
9503.T,THE KANSAI ELECTRIC POWER CO.. INC.,Electric Power
9531.T,TOKYO GAS CO.. LTD.,Gas
9532.T,OSAKA GAS CO.. LTD.,Gas
